idcircuito	circuito	autodeterminación y libertad	frente de izquierda y de trabajadores - unidad	frente de todos	juntos por el cambio	la libertad avanza	suma	p_autodeterminación y libertad	p_frente de izquierda y de trabajadores - unidad	p_frente de todos	p_juntos por el cambio	p_la libertad avanza
00051	51	320	553	1983	3565	1157	7578	0.042227501	0.0729744	0.261678543	0.47044075	0.152678807
00052	52	217	722	3056	3024	1653	8672	0.025023063	0.083256458	0.352398524	0.348708487	0.190613469
00053	53	249	765	3413	3420	1702	9549	0.026076029	0.080113101	0.357419625	0.358152686	0.178238559
00054	54	285	1023	3532	4598	1818	11256	0.025319829	0.090884861	0.313788202	0.408493248	0.161513859
00055	55	233	582	2691	2710	1263	7479	0.031153898	0.07781789	0.359807461	0.362347907	0.168872844
00056	56	232	656	2862	2660	1377	7787	0.029793245	0.084242969	0.367535636	0.341594966	0.176833184
00057	57	463	1099	4148	5221	2451	13382	0.034598715	0.082125243	0.309968615	0.390150949	0.183156479
00058	58	359	1030	3557	4378	1900	11224	0.031985032	0.091767641	0.316910192	0.390057021	0.169280114
00059	59	287	974	3020	3993	1543	9817	0.029235001	0.099215646	0.307629622	0.406743404	0.157176327
00060	60	426	1137	3583	5162	1755	12063	0.035314598	0.09425516	0.297023958	0.427920086	0.145486197
00061	61	361	1058	2877	5266	1784	11346	0.031817381	0.093248722	0.25356954	0.464128327	0.15723603
00062	62	273	742	2225	3118	1202	7560	0.036111111	0.098148148	0.294312169	0.412433862	0.158994709
00063	63	540	1356	3956	6787	2384	15023	0.035944885	0.090261599	0.263329561	0.451773947	0.158690009
00064	64	549	1531	4316	6994	2282	15672	0.035030628	0.097690148	0.27539561	0.446273609	0.145610005
00065	65	334	900	2560	4300	1542	9636	0.034661685	0.093399751	0.265670403	0.446243254	0.160024907
00066	66	365	982	2642	4520	1539	10048	0.036325637	0.097730892	0.262937898	0.449840764	0.153164809
00067	67	574	1491	4021	6611	2051	14748	0.038920532	0.101098454	0.272647139	0.448264171	0.139069704
00068	68	598	1487	3893	6648	2041	14667	0.040771801	0.101384059	0.265425786	0.453262426	0.139155928
00069	69	677	1724	4742	11892	3441	22476	0.030121018	0.07670404	0.210980602	0.529097704	0.153096636
00070	70	785	1811	5056	9462	2954	20068	0.039117002	0.090243173	0.251943392	0.471496911	0.147199522
00071	71	767	1725	5098	11877	3454	22921	0.033462763	0.075258497	0.222416125	0.518171109	0.150691506
00072	72	449	1060	2788	4368	1639	10304	0.043575311	0.102872671	0.270574534	0.423913043	0.159064441
00073	73	552	1278	3533	6153	1976	13492	0.040913134	0.094722799	0.261858879	0.456048028	0.14645716
00074	74	562	1392	3698	9836	2856	18344	0.03063672	0.075883123	0.201591801	0.536197122	0.155691234
00075	75	317	784	2360	3889	1395	8745	0.036249285	0.089651229	0.269868496	0.444711264	0.159519726
00076	76	492	1158	3544	5776	2093	13063	0.03766363	0.088647325	0.27130062	0.442164893	0.160223532
00077	77	364	845	3053	3922	1714	9898	0.036775106	0.085370782	0.308446151	0.396241665	0.173166296
00078	78	240	599	2493	3252	1494	8078	0.029710324	0.074152018	0.308615994	0.402574895	0.184946769
00079	79	287	826	2415	4830	1769	10127	0.028340081	0.081564135	0.238471413	0.476942826	0.174681544
00080	80	377	915	2594	4842	1707	10435	0.036128414	0.087685673	0.248586488	0.464015333	0.163584092
00081	81	296	771	2167	4605	1427	9266	0.031944744	0.083207425	0.233865746	0.4969782	0.154003885
00082	82	320	876	2726	4849	1814	10585	0.03023146	0.082758621	0.257534247	0.458101086	0.171374587
00083	83	433	1119	3304	8104	2585	15545	0.027854616	0.071984561	0.212544226	0.521325185	0.166291412
00084	84	339	924	3020	3824	1634	9741	0.034801355	0.094856791	0.310029771	0.392567498	0.167744585
00085	85	201	493	1425	2857	1031	6007	0.033460962	0.082070917	0.23722324	0.475611786	0.171633095
00086	86	581	2121	9215	6255	4496	22668	0.025630845	0.093568025	0.406520205	0.275939651	0.198341274
00087	87	658	2581	11948	7083	4134	26404	0.024920467	0.097750341	0.452507196	0.26825481	0.156567187
00088	88	336	950	3732	5359	2567	12944	0.025957973	0.073393078	0.288318912	0.414014215	0.198315822
00089	89	883	2704	12060	12186	6755	34588	0.025529085	0.078177403	0.348675841	0.352318723	0.195298948
00090	90	956	2905	14802	11923	6245	36831	0.025956395	0.078873775	0.401889712	0.323721865	0.169558253
00091	91	132	534	2694	1747	1586	6693	0.019722098	0.07978485	0.402510085	0.261018975	0.236963992
00092	92	301	827	2754	3859	1843	9584	0.031406511	0.086289649	0.287353923	0.40265025	0.192299666
00093	93	211	455	1966	2300	1158	6090	0.034646962	0.074712644	0.322824302	0.377668309	0.190147783
00094	94	261	795	2892	3153	1425	8526	0.030612245	0.093244194	0.339197748	0.369809993	0.16713582
00095	95	445	1149	4479	5706	2480	14259	0.03120836	0.080580686	0.3141174	0.400168315	0.17392524
00096	96	283	749	2873	3458	1728	9091	0.031129689	0.082389176	0.31602684	0.380376196	0.190078099
00097	97	266	718	2944	3155	1488	8571	0.031034885	0.083770855	0.343483841	0.368101738	0.17360868
00098	98	527	1122	4829	7324	3109	16911	0.031163148	0.066347348	0.285553782	0.433090888	0.183844835
00099	99	277	597	2374	4174	1596	9018	0.030716345	0.066200931	0.263251275	0.462852074	0.176979375
00100	100	364	730	2641	4748	1939	10422	0.034926118	0.070044137	0.253406256	0.455574746	0.186048743
00101	101	472	974	3436	5944	2215	13041	0.036193543	0.074687524	0.263476727	0.455793267	0.169848938
00102	102	353	749	2451	5063	1951	10567	0.033405886	0.070881045	0.231948519	0.47913315	0.1846314
00103	103	356	674	2297	4423	1804	9554	0.03726188	0.070546368	0.24042286	0.462947457	0.188821436
00104	104	361	817	2887	4467	1856	10388	0.034751637	0.078648441	0.277916827	0.430015402	0.178667693
00105	105	570	1167	3634	6641	2452	14464	0.039408186	0.080683075	0.251244469	0.459139934	0.169524336
00106	106	288	727	2200	3799	1588	8602	0.033480586	0.084515229	0.255754476	0.441641479	0.184608231
00107	107	518	1198	3814	6404	2485	14419	0.035924821	0.083084819	0.264512102	0.444136209	0.172342049
00108	108	336	783	2568	3906	1564	9157	0.03669324	0.085508354	0.280441193	0.426558917	0.170798296
00109	109	539	1273	3631	6019	2372	13834	0.038961978	0.092019662	0.262469279	0.435087466	0.171461616
00110	110	296	661	2320	3252	1174	7703	0.038426587	0.085810723	0.301181358	0.422173179	0.152408153
00111	111	317	625	2133	3435	1346	7856	0.040351324	0.079557026	0.27151222	0.437245418	0.171334012
00112	112	243	542	1640	2547	1065	6037	0.040251781	0.089779692	0.271658108	0.421898294	0.176412125
00113	113	368	790	2519	4128	1823	9628	0.038221853	0.082052347	0.261632738	0.428749481	0.189343581
00114	114	499	1114	3501	5583	2082	12779	0.039048439	0.08717427	0.273965099	0.436888645	0.162923546
00115	115	346	857	2652	3921	1516	9292	0.037236332	0.092229875	0.285406802	0.421975893	0.163151098
00116	116	521	1170	3561	5403	2130	12785	0.04075088	0.091513492	0.278529527	0.422604615	0.166601486
00117	117	552	1218	3534	6532	2265	14101	0.03914616	0.086376853	0.250620523	0.463229558	0.160626906
00118	118	384	853	2497	5534	1801	11069	0.034691481	0.077062065	0.225584967	0.499954829	0.162706658
00119	119	531	1080	3109	6601	2319	13640	0.038929619	0.079178886	0.227932551	0.483944282	0.170014663
00120	120	495	995	2980	7240	2648	14358	0.034475554	0.069299345	0.207549798	0.504248503	0.1844268
00121	121	433	781	2772	5988	2335	12309	0.035177512	0.063449508	0.225201072	0.486473312	0.189698595
00122	122	285	569	1721	5999	1991	10565	0.026975864	0.053857075	0.162896356	0.567818268	0.188452437
00123	123	387	771	2387	5422	1970	10937	0.035384475	0.070494651	0.218249977	0.495748377	0.18012252
00124	124	471	1006	3490	5544	2002	12513	0.037640854	0.080396388	0.278909934	0.443059218	0.159993607
00125	125	610	1311	3889	7711	2737	16258	0.03751999	0.080637225	0.239205314	0.474289581	0.16834789
00126	126	490	1167	3407	6418	2364	13846	0.035389282	0.08428427	0.246063845	0.463527373	0.17073523
00127	127	549	1314	3417	10264	3092	18636	0.029459111	0.070508693	0.183354797	0.550761966	0.165915432
00128	128	531	1391	3807	8443	2612	16784	0.031637274	0.082876549	0.226823165	0.503038608	0.155624404
00129	129	649	1566	4261	9749	3060	19285	0.033653098	0.081203008	0.220948924	0.505522427	0.158672543
00130	130	450	1123	2980	6676	2023	13252	0.033957139	0.084741926	0.224871717	0.503773015	0.152656203
00131	131	154	330	1124	2317	798	4723	0.032606394	0.069870845	0.237984332	0.490578022	0.168960407
00132	132	473	1177	3895	6933	2640	15118	0.031287207	0.077854214	0.257639899	0.458592406	0.174626273
00133	133	466	1183	3389	7671	2418	15127	0.030805844	0.078204535	0.224036491	0.507106498	0.159846632
00134	134	175	447	1143	3773	1118	6656	0.026292067	0.067157452	0.17172476	0.566856971	0.16796875
00135	135	210	616	1673	5823	1633	9955	0.021094927	0.061878453	0.168056253	0.584932195	0.164038172
00136	136	338	820	2021	5634	1671	10484	0.032239603	0.078214422	0.192769935	0.537390309	0.159385731
00137	137	283	854	2063	5592	1689	10481	0.02700124	0.081480775	0.196832363	0.533536876	0.161148745
00138	138	511	1366	3313	12511	3343	21044	0.024282456	0.064911614	0.157432047	0.594516252	0.158857632
00139	139	360	884	1992	7974	2160	13370	0.026925954	0.066118175	0.148990277	0.596409873	0.161555722
00140	140	158	456	1124	3714	1073	6525	0.024214559	0.069885057	0.172260536	0.569195402	0.164444444
00141	141	274	715	1804	6889	2047	11729	0.0233609	0.060960014	0.153806804	0.5873476	0.174524682
00142	142	238	712	1574	12034	3096	17654	0.013481364	0.040330803	0.089158264	0.681658548	0.175371021
00143	143	312	835	2021	8158	2072	13398	0.023287058	0.062322735	0.150843409	0.60889685	0.154649948
00144	144	135	375	769	3634	1009	5922	0.022796353	0.063323202	0.129854779	0.613644039	0.170381628
00145	145	374	1099	2620	5637	1668	11398	0.032812774	0.096420425	0.229864889	0.494560449	0.146341463
00146	146	287	778	2167	4078	1304	8614	0.033317855	0.090318087	0.251567216	0.47341537	0.151381472
00147	147	364	967	2251	8766	2289	14637	0.024868484	0.066065451	0.153788345	0.598893216	0.156384505
00148	148	304	860	2121	10324	2807	16416	0.018518519	0.052387914	0.129203216	0.628898635	0.170991715
00149	149	321	817	2237	11773	3348	18496	0.017355104	0.044171713	0.120945069	0.636516003	0.181012111
00150	150	101	277	734	6884	1858	9854	0.010249645	0.028110412	0.074487518	0.698599553	0.188552872
00151	151	299	929	2317	12945	3303	19793	0.015106351	0.046935785	0.117061587	0.654019098	0.166877179
00152	152	266	790	1948	8913	2239	14156	0.018790619	0.055806725	0.137609494	0.629627013	0.158166149
00153	153	487	1206	3243	9088	2515	16539	0.029445553	0.072918556	0.196081988	0.549489086	0.152064816
00154	154	548	1536	4087	10133	2735	19039	0.028783024	0.080676506	0.214664636	0.532223331	0.143652503
00155	155	509	1417	4118	9084	2895	18023	0.028241691	0.078621761	0.228485824	0.504022638	0.160628086
00156	156	247	743	1954	3356	1060	7360	0.033559783	0.100951087	0.26548913	0.455978261	0.144021739
00157	157	380	1145	3047	5377	1651	11600	0.032758621	0.098706897	0.262672414	0.463534483	0.142327586
00158	158	667	1457	3814	6502	1934	14374	0.046403228	0.101363573	0.265340198	0.452344511	0.13454849
00159	159	389	900	2524	3680	1165	8658	0.044929545	0.103950104	0.291522292	0.425040425	0.134557635
00160	160	831	1622	4392	7804	2283	16932	0.049078668	0.095794944	0.259390503	0.460902433	0.134833451
00161	161	670	1448	4075	5999	2184	14376	0.046605454	0.100723428	0.283458542	0.41729271	0.151919866
00162	162	490	1183	3795	4493	1850	11811	0.04148675	0.100160867	0.321310643	0.380408094	0.156633647
00163	163	324	941	2926	3255	1241	8687	0.037297111	0.108322781	0.336825141	0.374697824	0.142857143
00164	164	308	890	2539	3604	1259	8600	0.035813953	0.103488372	0.295232558	0.419069767	0.146395349
00165	165	547	1411	3755	6646	2177	14536	0.03763071	0.097069345	0.258324161	0.457209686	0.149766098
00166	166	461	1211	3786	5294	2012	12764	0.036117205	0.094876214	0.296615481	0.414760263	0.157630837
00167	167	406	1064	2967	5419	1802	11658	0.034825871	0.091267799	0.254503345	0.464831017	0.154571968
